shop_name,digital_listing_count,sold_count,active_listing_count,favorites_count,average_rating,total_rating_count
therustyroof,0,153490,84,18677,4.9515,29011
OnceUponATimeSupply,0,153413,3902,10435,4.934,26213
SilverCityBeads,0,153010,1700,20502,4.9119,55289
bestfire,0,152719,2990,15087,4.9502,36626
ByAnaLondon,0,152363,29,1829,4.8569,10691
Fashionhommy,0,152190,1953,5737,4.8178,7648
NorthwindSupply,0,151702,170,10002,4.904,20313
SheSquatsClothing,0,151608,0,28488,4.8681,27088
DPCDigitals,772,151411,772,7769,4.9782,16053
StampedWithPassion,0,151301,112,9612,4.9315,21896
Frostbeard,0,151247,16,81201,4.7689,28168
isakayboutique,0,151228,73,19098,4.8261,34558
SewWhatFun,0,151008,28,8563,4.945,20175
GoldenxHour,0,150625,37,2915,4.7402,13253
RockParadise,0,150618,4457,51376,4.7951,33597
TheSilverWren,0,150333,673,39025,4.9039,23091
MUJKA,1904,150266,1904,13535,4.9642,10440
fieldtrip,5,150212,1474,34333,4.8006,23941
zipperstop,0,150165,1684,13889,4.9367,28799
JADEandPAIIGE,0,150149,1372,6483,4.6316,22450
CreativeUnionDesign,1614,150111,1622,13716,4.8602,13012
azdigitaldesigns,151,150076,151,5603,4.9646,7832
my2lilpixies,0,150004,322,26289,4.9459,31455
supersweetparty,0,149815,1934,10523,4.848,12460
PaveFindings4u,0,148878,4939,11265,4.8838,15374
PetalPaperCo,0,148589,3325,4784,4.9767,23616
monpetitviolon,349,148581,357,28053,4.9138,17378
CherryStitchDesign,2840,148372,2840,11200,4.9341,13289
PlanToPlan,0,148281,1622,7715,4.9897,30510
TheBeadBungalow,0,147971,1739,9764,4.9875,35679
48HourMonogram,0,147934,893,15533,4.8266,23620
lalylala,48,147884,111,47900,4.954,11074
ElasticByTheYard,0,147316,201,12287,4.9505,47550
kimonomomo,1,147240,1847,19665,4.9721,28066
eBollo,0,146999,645,11118,4.9162,22517
TheDigiRainbow,1240,146754,1240,10532,4.9637,14336
BrantPointPrep,0,146530,2860,10035,4.9535,26350
fantabuloussupplies,0,146447,1542,9444,4.9588,20763
BrushAndBarley,378,146355,492,17559,4.9819,11763
purplemountainbtq,32,145960,1253,12722,4.961,29828
mysewcuteboutique,533,145373,533,8923,4.8708,10393
alyssabethsvintage,0,145038,1759,12886,4.9853,28346
JewelBasket,0,145034,2917,8854,4.7056,17726
Beautivity,0,144767,21,2556,4.9139,18121
ZenThreads,0,144526,0,57266,4.8346,32073
Alaridesign,0,144422,1349,32577,4.9105,28607
3DWorldUS,0,144297,419,5627,4.9501,16397
CreateYourOwnGift,0,144031,689,4047,4.7698,19922
FrostedWillow,0,143920,907,59652,4.9037,19838
EpochBeads,0,143840,2568,19364,4.8618,54158
TurtlesSoup,0,143783,611,31740,4.992,32109
Suppliesjungle,0,143412,4310,10928,4.9765,24170
khallion,26,143238,1081,51900,4.9878,25766
Graaphic,21,143122,21,4039,4.9026,6509
alphabetcanvas,0,143117,23,17868,4.9487,34845
