Predicted Sales,Actual Sales
87034.56816,63937
36045.91986,31726
34596.78126,37929
37141.95753,24953
37064.94687,22995
88147.4373,227556
43209.89711,23381
37997.53659,25048
62310.35896,83819
44329.31481,62885
28299.66049,28272
57690.29609,72707
35684.54563,28739
51584.23581,27723
42402.74633,34824
35479.37016,35371
49954.73301,40754
40130.76117,29441
59018.33321,52146
29446.05969,24139
29594.70941,28861
72874.74768,45998
39080.41904,29627
30641.82969,29145
46463.43833,53919
48446.2036,37661
51815.46756,62629
37577.13827,26959
36617.83849,30039
39992.37981,35223
39924.06772,26952
29501.46987,22743
46669.70184,36387
35988.63357,30959
55620.43662,96928
31806.58785,23341
38472.84968,43981
47487.6413,53071
58910.69531,74879
80008.95517,61666
46522.46108,69525
42998.60247,30173
46465.16649,61056
37808.44951,31230
52193.77208,75664
40646.42479,39001
49136.24947,75833
82659.79659,61899
57305.91067,22855
39084.33333,36803
30258.1875,23314
42386.85829,36215
34798.17742,39458
77007.48282,24528
47195.26159,71215
36113.10056,41305
42115.39303,48686
37086.52949,23335
33210.63956,37826
36052.17399,24445
26478.10221,33392
38411.16843,29256
47326.18356,43499
54341.867,26224
47386.06269,39650
38846.53175,51576
56609.24604,38335
47027.38925,77071
51017.487,59957
31830.37768,42828
31730.19996,28360
36139.2679,36925
35384.37618,29077
76239.64608,37085
39582.87169,28754
29007.99673,30198
39884.512,39730
36427.26696,31516
42157.55481,24631
78580.51767,74984
128578.6456,104576
34065.33934,23988
28358.16744,25101
38370.26148,36641
66281.72264,34790
85578.67493,62484
34183.46859,24162
51522.37923,91222
54408.1292,36281
65924.17491,56272
41993.7788,23810
66873.16075,82279
38642.85162,33977
40294.15728,31210
23733.6545,28095
34312.07536,26762
51490.38508,72714
38109.60394,32841
73018.27459,169720
43683.91012,30665
35696.81184,29919
52825.88924,34244
54557.49334,50466
33913.8887,33762
47619.43043,42281
44373.39332,33373
34349.81646,33140
28851.47501,23717
31889.28559,23050
24555.84825,24730
44126.28378,43203
26245.78938,25064
49450.84575,41937
34174.79527,23820
48857.3608,100827
58497.48518,52812
91162.74028,79876
46661.10136,91958
36842.88627,26514
36851.20781,34237
36178.68882,22877
40446.31365,26605
31658.19492,29514
87014.06221,78657
56145.62317,31228
36711.76744,39951
29662.24389,24129
49824.80588,42272
32574.67754,24066
37697.33173,25724
32879.80107,33369
30992.21486,23390
42981.65473,31936
40206.12837,28086
51534.88779,53562
28078.27201,25068
50260.67256,42144
38324.36862,34921
40298.30115,38910
49835.59213,40413
32257.06943,30097
50922.68994,39089
51245.89878,49440
32977.12539,51748
97776.31168,160085
65642.75679,100204
35061.25325,27029
74586.86926,75534
46218.25074,32765
55694.88139,120140
43895.06305,46257
35347.31696,34460
40095.91254,33415
28852.52266,26267
53704.45517,43698
98843.61669,65989
38442.51522,42259
26955.85118,24017
53496.81857,83983
81249.53575,91305
141062.0472,194555
46852.42659,29027
52542.75418,47060
29688.44652,25104
117269.7951,202803
31060.16745,26868
42704.74535,39128
34637.59066,30655
43894.68645,30422
44541.48304,32753
39287.90311,38266
89012.31293,108688
148374.3833,189887
37183.19646,29779
38700.41147,60261
50870.82237,57952
55119.06915,41087
38689.09022,47982
58343.15879,68716
87390.87216,125747
25687.05503,23790
147405.3647,147971
49846.08644,36516
44574.73521,32463
40405.28529,59253
51534.68434,23049
41351.98252,24241
35925.90065,23910
34616.90086,26689
56417.35724,67914
48823.12437,87198
42264.52514,44664
40105.20594,49809
37703.06168,32893
31495.90845,26067
50846.64841,43294
49160.54517,55898
40264.63511,63186
48962.87288,30743
38832.03812,37996
30908.26158,26697
43091.35,65204
33429.44301,33981
53283.80964,53543
30426.44755,26351
83969.91159,87162
32631.3579,29834
54926.32439,29733
40226.35079,25837
58385.67717,43216
31789.06646,24466
32937.571,51782
43339.57913,39699
26784.29649,32253
37659.35102,24580
33172.31219,24242
44834.8855,26941
24699.93151,23149
126006.0346,136891
50925.86819,28096
60792.7113,57816
39419.37105,34564
48972.77609,22852
40371.0431,27337
80506.80428,79204
29628.77651,27354
31998.97875,28097
45759.93112,57369
31263.9707,40611
42169.87933,36223
29047.471,23872
29190.60327,23232
36419.82579,28565
41630.75053,64582
57853.88668,36632
101505.8608,117358
190932.8356,127048
47632.23371,29071
59095.71058,49290
51388.27303,41501
26853.81059,23152
50122.95732,64691
36711.57106,36328
49857.84016,28318
80557.62211,81255
26732.66263,36934
29960.2185,36350
35541.89353,24784
38734.48293,23361
43381.08069,42380
43438.13092,46427
77796.96971,36751
71672.23835,82159
33687.24775,25931
48563.97834,83883
62291.23987,36255
42740.24916,36164
55484.93276,70247
29733.0127,37466
51955.46071,37225
65905.43638,78707
26781.43576,33510
39086.57859,26490
29519.24705,24392
70617.59643,58854
66462.6345,141762
30388.25788,23367
35158.8054,31563
42779.68603,30860
27404.53218,25922
70816.44362,30254
54588.19046,49251
42739.98129,27780
41467.0387,35463
34549.41888,53386
43507.43988,27353
67816.31818,46648
45603.81515,36715
45948.45672,42768
29734.12763,27871
59311.38408,45519
46190.15572,34065
35889.92501,35379
46706.60799,41934
27841.79398,30025
40043.07111,49842
28131.82132,23301
49961.5303,35956
45019.47783,45494
30067.56409,26271
36770.38806,33949
32060.49197,25632
89627.53732,109349
41183.68801,31935
30301.83873,26313
46467.31177,27281
37623.09176,47825
78885.69763,63805
40029.37283,43850
40523.5017,44268
40452.14486,30896
102276.959,98602
26266.31042,24146
38486.15343,48163
43601.64684,43639
44260.81969,36778
36315.0296,28898
32999.70645,30921
49980.38685,41090
40295.83943,33724
66017.42734,66283
41273.56755,40800
81237.63788,73756
41791.66663,38137
74447.6235,98964
28202.42809,23831
27845.15779,32783
25830.22973,30342
42339.86976,47533
54239.00932,60482
44079.37227,52065
34088.31549,35623
48909.1792,25829
56495.56221,65428
49470.31579,55603
45683.2564,91111
124378.3235,235926
43563.04689,52442
53817.27705,54403
50425.97008,56436
34534.7604,43422
41258.32506,49709
26884.06045,29118
49066.85899,38861
31768.59291,26705
32720.60115,29841
39300.37139,29357
36511.93286,28598
36433.69221,34072
98813.344,146999
45943.9478,33452
34387.19577,28220
25063.21483,23072
55565.3631,23947
22695.92365,25686
43704.61943,29482
31845.50407,22807
141954.7426,78690
61365.43391,34796
63592.86222,103802
46571.41053,60467
49993.72521,44175
33274.00038,25366
31647.47689,23943
31599.58684,37331
68769.29149,47696
51704.99455,35299
31406.99706,23054
58108.78417,54896
45366.56841,31534
41141.37916,29100
34031.38535,69957
124208.4983,167388
32904.39358,34818
107946.2376,103441
53897.56563,49404
33130.6896,34550
28752.19373,28365
66111.52539,72837
32016.51792,37435
45817.1135,46929
79077.65019,67208
38138.14495,29225
23773.18246,25282
37391.46953,41445
47093.38874,63937
36239.39563,27145
50428.01996,54638
40978.111,34347
51200.77952,58722
44136.2517,50332
54077.60224,60365
35737.18515,31944
23019.11145,30266
51946.21664,32627
45329.64798,30560
36429.48487,24779
37872.40195,30893
35831.92852,49253
39440.75965,27017
32445.03346,24297
45159.87079,87546
31954.49489,23830
29570.964,33205
55629.05657,32473
43529.27915,58308
53320.74722,84774
32808.52573,31985
58877.16791,90499
33387.03561,26518
35848.30189,25840
27293.81444,25002
48869.46236,47014
86094.76436,133474
50226.51778,51026
27207.27015,24305
34154.15739,24231
51052.60027,52161
30157.94471,34345
37138.586,58131
48720.70446,47589
33354.37261,29613
51114.06528,55457
32494.18373,26762
91514.03154,80790
32241.24794,26334
95965.03932,114954
54476.03425,29404
97126.1439,114622
26005.70397,28858
58871.51559,77321
39975.14988,28136
47270.65852,64170
61969.35897,46890
30930.25865,32135
45458.28998,26128
99009.09989,93042
57731.75445,48005
28961.64498,23238
35450.12903,26076
71538.03499,73420
35634.94839,43305
101916.6978,38079
46852.60875,50274
38881.48099,30039
33881.11394,40598
59872.04005,50726
30131.43873,31486
32688.43814,25519
49635.90144,41549
29520.52352,24427
26742.78356,35179
43815.73327,40222
34412.25421,53641
32093.80229,23823
51583.61544,70254
49838.19179,38785
37785.31951,29332
48605.48564,32813
34866.58203,25167
59115.02424,42451
36600.6226,35727
30267.88093,24534
114685.6895,132897
55321.94829,58955
33654.37377,24330
77456.42332,85649
44225.3582,37232
24479.48288,47825
46275.68154,30903
27628.8991,27168
28544.71303,27872
43107.71292,53256
62539.39559,33435
34843.09731,27918
26972.01375,23983
61690.66469,94417
49808.25729,49280
102387.1221,123948
83582.57325,85285
33730.45673,40993
28398.86646,25532
40206.53435,57639
22674.35419,22909
41606.10898,27106
38489.30495,31148
38178.07566,27318
40944.90409,27808
29068.70884,55423
42074.43716,37773
38986.97545,51406
31639.25374,24498
32948.98271,26031
25619.08739,34659
43282.74766,53660
45821.21073,41495
35258.58042,28048
86267.52734,87614
39696.74581,31518
148665.5115,212105
31847.01611,24952
77061.10823,92731
30209.7102,23447
60154.73047,51358
32687.12686,38051
30629.25567,22736
26144.16625,24939
69836.42373,234640
33453.34317,25750
56590.80163,66245
48189.16939,84176
69011.8295,47077
115478.2483,125449
35283.75765,27798
37970.07971,38691
51914.06615,49886
41073.35177,25858
30185.37858,35520
28521.01116,23821
34565.39971,28897
36604.2193,27757
37555.50694,23751
54198.24466,59949
46048.20197,94696
73775.1618,83527
60490.15659,35672
39621.02153,34698
34592.86475,43498
47931.61459,38555
33189.24413,45236
83580.94685,76700
30423.7213,31069
40185.10329,23187
37468.16151,42113
31568.11379,47773
42517.32711,35967
91253.66712,62724
39090.87084,41534
54392.6385,56678
73652.41963,32574
39894.94663,37940
81909.51879,106359
50272.18012,46757
34224.8453,34471
31528.20722,24237
37025.03484,27048
75704.11011,45632
41082.80528,38302
57371.71928,106147
35047.86164,23242
46580.82499,77445
61669.70206,115646
34042.88358,27069
28212.95581,35773
37535.72439,28957
31086.71651,29250
48954.809,43512
136421.095,212193
62101.24518,74462
105989.7698,81727
36246.5164,29529
51699.89969,36430
34631.25723,28082
40712.6259,35508
44953.81053,28852
61581.39932,57405
46685.18549,70581
38878.76516,29752
43461.88257,48216
39035.79649,35218
54631.98708,38616
35095.04777,24249
30492.59257,23743
42448.72532,28863
27616.3606,29211
41466.29481,27995
75778.55354,66629
38372.87909,50204
58856.93992,72029
47656.31112,54963
39991.83198,36606
59879.01044,51073
34244.83064,29726
34090.35225,23836
44579.03524,34083
